id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
511,   roxanne, wandell,18, hoddle garden, rockley, brighton,2849, nsw,19311012,29, 02 45100051,7675632,4
6302,   viola, matthiessen,4, namadgi circuit, texas station, bridgeman downs,2763, vic,19060627,43, 08 46913461,4853243,6
5895,   cheryl, sworzeniowski,58, kent street, st francis room, ermington,3218, nsw,19470825,33, 03 04942987,9298776,4
668,   jack, mckerlie,331, tytherleigh street, the gums, torrumbarry,5031, sa,19020913,21, 03 76703098,7111955,8
8137,   kaitlyn, lowe,2, mault place, kootingal, macmasters beach,2680, vic,19180612,26, 07 38560700,4714642,4
5891,   florence, shelley,18, figg place, the olives, bolinda,4178, sa,19150121,20, 03 26977882,8872628,6
4227,   brian, campbell,6, norris street, vaughan vlge, port lincoln,4861, nsw,19560524,30, 02 94161941,5989610,3
2869,   jack, webb,77, mandurah place, lambrook, nowra,4670, nsw,19431211,27, 08 88758292,3070099,1
2824,   michael, singleton,84, shirlow place, amboyne, scarborough,3108, vic,19700828,29, 04 98831385,4904828,3
6192,   joseph, mcgregor,93, ligertwood crescent, moorabin farm, joondalup,3124, nsw,19130917,20, 08 78966673,9103897,3
4122,   john, herbert,39, sands place, couta rocks, yarraville,5033, sa,19960816,31, 04 72985444,5850782,0
3169,   joann, green,270, barnett close, the homestead, gordonvale,6102, vic,19790119,37, 07 70020831,1287957,9
9511,   courtney, hudd,5, allambee street, gosper house, alyangula,5114, nsw,19240401,32, 07 89786941,6945847,6
6912,   karl, maynard,23, degraves crescent, regent view, highton,6230, wa,19120117,27, 07 33454169,7411792,4
4402,   david, lock,19, sargood street, buena vista, north ward,7320, nsw,19240318,21, 03 44229183,5827287,4
726,   suzanne, brammy,5, chuculba crescent, sec 443 bellamour, crystal brook,5464, qld,19900704,42, 03 63562287,3451353,0
8389,   matthew, campbell,33, muirhead place, palm garden villas, ringwood east,3056, vic,19060823,34, 02 37646396,4161413,6
8908,   kyle, green,40, haystack crescent, forest hills, cable beach,4109, qld,19610103,35, 07 24613657,5599429,8
900,   william, white,11, golden grove, fernlea, tweed heads south,2037, vic,19551019,37, 08 09864089,3986954,9
505,   melvin, egan,59, chataway crescent, diamond star, smithfield,5090, nsw,19681230,32, 04 53098385,7269987,5
7970,   benjamin, webb,6, wyselaskie circuit, anzac house (cnr archer s street, revesby,5333, vic,19650606,29, 02 11357821,8586800,2
2944,   alyssa, campbell,22, nimbin street, riverbend, prospect,3156, tas,19220307,30, 02 46747060,8460733,2
97,   jose, lock,202, capella crescent, wilga, nowra,2165, nsw,19190101,32, 04 80965027,6293596,8
9349,   edward, white,11, bimbiang crescent, lemnos, dalby,4610, nsw,19140507,31, 03 65349416,6504391,8
4567,   angela, campbell,5, corroboree park, trellech, kedron,3192, nsw,19041029,27, 07 92804373,5951426,5
5592,   murray, klinovski,10, murdoch street, canberra centre, pimlico,2196, sa,19210826,40, 04 85489986,3232801,4
1337,   deborah, haggett,61, mcmillan crescent, montrose, cloverdale,3072, vic,19330810,34, 04 20116122,3514455,7
6969,   robert, sax,171, carlotta avenue, kersey' south, fairlight,2440, qld,19740417,25, 02 79755813,7672758,4
1261,   chad, bowerman,1, crafer place, oliwen, brighton,3844, vic,19860819,25, 08 93858997,4742080,4
9371,   cynthia, mcphail,7, wilkins street, cleveland waters, coffs harbour,5155, act,19910319,28, 03 39402573,1354415,1
6565,   glenda, passell,10, de burgh street, brunton, clarinda,4059, wa,19710304,38, 02 32525249,7507626,3
2790,   vera, shepherd,14, gillen street, hundred wokurna, toowoomba,3104, nsw,19250524,22, 03 40607405,6359809,1
9926,   justin, hewson,11, patey street, homevale, yarrawonga,3006, nsw,19490521,31, 04 81100204,7743354,6
8994,   cynthia, lovelock,32, grounds crescent, townview, glen innes,2430, sa,19330605,30, 08 00811806,8365788,4
4888,   joann, tweedle,48, willara close, merrangbauer park, scarborough,2284, vic,19901126,23, 08 31987284,7639179,5
6272,   sylvia, dudley,6, maclaurin crescent, seagulls football club, brighton,2800, nsw,19820620,28, 02 23238709,8406210,2
8083,   shirley, reid,280, weatherburn place, riverwalk one, robertson,4011, nsw,19050114,30, 03 33507252,7272005,0
2437,   anna, campbell,33, wendy ey place, brest hill, ballarat,3463, nsw,19941206,32, 08 34579790,4078765,4
5533,   margaret, fitzpatrick,22, watling place, lonesome dove, balwyn north,3550, vic,19710123,26, 02 05621326,7819209,9
3653,   shirley, menzies,31, mcleod place, glenoak, mckinnon,3054, qld,19910808,27, 07 29779762,9952261,8
1392,   james, lipton,56, bingley crescent, sheep station, baranduda,3844, wa,19631113,31, 08 61859177,9550333,7
7088,   elizabeth, stubbs,15, grounds crescent, murga ridge, west lakes,3977, vic,19271111,35, 02 48245248,6602115,1
6553,   keith, capurso,9, macintyre place, court units, newlyn,7006, nsw,19741208,26, 02 42760625,8943616,7
6201,   rosemary, white,154, tallara parkway, anona farm, austins ferry,4069, vic,19120516,22, 04 70333743,5386423,1
7960,   taylor, white,24, strzelecki crescent, golden lea, daisy hill,4226, vic,19740717,24, 04 12136014,2167060,0
7965,   adam, valentini,38, keith street, ellwood, oakleigh,3133, vic,19391001,30, 07 49114230,9415009,0
7954,   alice, tippins,149, dexter street, osters, bassendean,3799, sa,19520414,29, 08 42056976,1216288,5
3907,   carmella, palmeri,2, heysen street, retmnt vlge, halls creek,5000, nsw,19090927,32, 03 83979336,8006337,9
5728,   alicia, haar,2, kurundi place, table mountain, hawthorn,4207, qld,19691109,30, 08 18444935,6246476,2
2610,   david, crisci,38, stroud place, the manor braeside, narrogin,2756, sa,19701028,21, 04 46194870,9235011,5
3780,   helene, pooke,36, florence taylor street, south gwandalan, umina beach,2761, vic,19101120,20, 04 67199446,6335533,5
1742,   tonya, mason,113, cowper street, irrigation farm, alice springs,3186, wa,19390118,33, 08 77219074,9094685,7
5096,   john, clarke,25, burkitt street, warramby, mossman,2148, vic,19960806,18, 08 95253854,9129143,8
8419,   dennis, ryan,240, blackbutt street, brentwood vlge, charlestown,3072, vic,19220809,28, 04 21073485,1890637,1
1893,   anthony, clarke,12, tanumbirini street, grand central, sandy bay,2045, nsw,19660911,26, 02 90380504,8601288,5
6914,   barbara, grosser,108, lambrigg street, wyuna, keysborough,5067, nsw,19340319,27, 03 31360534,9664449,9
3238,   christy, cureton,30, hilder street, lawless, windsor,2145, wa,19560929,28, 07 57580017,9340298,0
5026,   gavin, burford,88, elvire place, benbullen lowline stud, narrandera,3136, wa,19140416,20, 08 54464970,3613617,2
3555,   jasmine, scharner,42, cosgrove street, bringalong, duaringa,4740, nsw,19030128,30, 04 50216692,8563480,0
4028,   felix, winfield,9, murranji street, beltrasna angus stud, st kilda,3076, nsw,19460906,28, 07 15351806,4330416,0
4220,   claude, daish,18, keith street, kokoda hostel, canley heights,2340, vic,19940520,25, 07 10662102,5996221,3
4787,   mary, mcclelland,70, ross smith crescent, murga ridge, richardson,2227, vic,19930603,23, 08 22796408,7271473,5
298,   jonathan, statham,83, huxley place, falconhorst, fairlight,3396, nsw,19940621,27, 07 50850624,5117105,3
9381,   theresa, palachicky,4, moor place, hawkhurst cottage, woronora,3977, vic,19450520,36, 08 56316012,3016101,6
9487,   thelma, goode,12, throssell street, pinda, bargara,2350, nsw,19181127,30, 02 02650113,7640864,9
9279,   kenneth, binns,3, stead place, rockview, waverley,2025, nsw,19451206,30, 08 27078365,1532516,2
9637,   gregory, feneley,18, amangu street, walkabout palms, athol park,6210, vic,19951210,36, 04 52580647,1936055,7
3096,   shannon, nguyen,52, sherbrooke street, rosehill, newmarket,7010, nsw,19450706,28, 03 48629618,3636021,4
7418,   kaylee, tribbeck,14, doutney place, bowen park, yagoona,2122, vic,19380622,34, 03 13112423,7336206,4
5573,   alex, green,127, spence place, lazy acres, bonnyrigg,2195, wa,19691020,26, 02 44146933,1587264,9
8354,   wilma, green,20, tyson street, rocklea, goodwood,2011, nsw,19510708,32, 02 06955224,5129741,2
3242,   sandra, boeyen,31, lawley street, halycon, st lucia,2800, qld,19441211,25, 04 36753229,2625700,3
6927,   martina, whiteley,46, ainslie avenue, henry kendall hostel, beechboro,2550, tas,19691104,22, 03 96427663,5901986,3
6602,   tiffany, ilmberger,15, fullerton crescent, yellowstone, casino,3156, qld,19690930,21, 08 42549451,7351510,8
1685,   lillian, kiosses,5, euree street, waratana, port lincoln,3169, qld,19500710,32, 07 09441541,2417601,0
1834,   ardis, ezard,5, stanley street, sec 1, ashfield,2022, qld,19160619,36, 08 36231303,1133627,9
5257,   douglas, webb,14, coppin place, melrose farm, maryborough,3225, wa,19430513,33, 02 29629935,4794574,4
8905,   lilly, rivers,11, tennyson crescent, warra creek, manly vale,4122, vic,19250928,30, 04 00059350,8393142,9
4827,   latoya, coleman,13, wakool circuit, pineangle (cnr green l lane, seaton,3102, vic,19000810,33, 02 91747753,2783864,1
5672,   amanda, cure,36, beardsmore place, canowindra, chinchilla,6025, qld,19541009,28, 07 06948526,3336122,9
4386,   georgia, white,36, holroyd street, haven court, sippy downs,4701, sa,19591114,35, 03 14351675,3923601,8
8821,   anthony, mercorella,15, weddin circuit, grandview, balwyn north,4558, vic,19480508,26, 03 38237623,4706197,8
4965,   bessie, whiteway,18, hicks street, manning village, loftus,2906, vic,19970315,25, 02 70161039,1309292,3
2613,   louis, donaldson,1, climpson place, sunshine farm, lauderdale,6019, nsw,19801012,19, 02 77307308,2471322,7
5569,   rachel, maslac,95, burkitt street, brentwood vlge, coonamble,5097, nsw,19420907,26, 07 10989575,4187137,9
2032,   harry, bligh,27, cutbush street, grand arcade, moss vale,2447, vic,19000304,26, 03 64326759,1670507,9
4873,   larry, grandioso,43, macgregor street, acton road, wyoming,5023, qld,19141013,20, 03 21051063,7070899,5
3409,   wilson, george,119, louisa lawson crescent, border park, blayney,2880, wa,19450222,35, 07 27488345,5932507,2
8513,   michael, mcgregor,32, talbot street, war veterans hme, lavington,6163, nsw,19030611,35, 07 10796658,9338752,8
5590,   patricia, bissmire,5, william webb drive, brentwood vlge, williamstown,4121, vic,19250526,34, 02 42031667,4768246,6
5756,   leah, campana,1, carr crescent, hangmans lane, tallai,3851, qld,19941006,31, 02 54009483,2495452,7
1251,   monique, klemm,90, parfitt crescent, brinjarry, sunshine north,3146, nsw,19801020,29, 07 00384552,5683417,0
2568,   frank, bellchambers,12, kirwan circuit, the mount, cranbourne,2170, sa,19430817,26, 04 48411643,4959755,2
43,   albert, pascoe,8, endeavour street, stone oak farm, tarragindi,4008, vic,19940425,20, 07 93925832,7616337,3
719,   richard, braithwaite,27, freehill street, vlla 18 pacific bay resort, warracknabeal,2114, vic,19520224,39, 04 94524029,7706121,1
6293,   naomi, mccarthy,12, doughty place, twojays, queenscliff,3123, sa,19451029,26, 04 69323988,9859823,0
2736,   michael, herbert,198, weipa place, flt 10, parkside,2153, nsw,19010612,24, 08 94669913,9304752,3
7545,   edith, lindschau,22, madigan street, tintagel, lindfield,2047, vic,19580319,27, 03 41524824,4779371,4
8469,   jillian, steed,22, pocket avenue, carisbrook, bonnyrigg,3912, nsw,19300728,27, 02 62920699,7163584,6
5930,   linda, manson,51, galloway street, rocky bend, currimundi,3551, nsw,19480928,31, 02 71719362,5127931,3
6215,   rex, brain,164, ragless circuit, rsd frareen, ballarat north,2518, nsw,19750317,21, 07 51676740,4630669,4
5263,   christopher, millar,8, garanya street, marretah, bethanga,2289, nsw,19920118,32, 02 71558816,7726685,8
9214,   becky, webb,52, mckid court, the meadows, bylong,3220, qld,19910611,27, 04 98994602,4084482,7
3083,   natalia, boyle,16, kelleway avenue, rainbow ridge, charlestown,2040, nsw,19970307,33, 04 20193671,7615415,8
1526,   diane, nguyen,49, atherton street, pepin, st albans,2607, tas,19480927,35, 08 36940455,2598244,9
1272,   alan, kuskie,4, cutbush street, airforce memorial estate, bossley park,2749, vic,19161221,19, 08 63641567,9175563,9
6829,   patrick, holderhead,184, kellick place, plainbrook, sherwood,4069, qld,19321127,21, 07 80934291,9158924,7
9043,   ricky, hewson,14, fairweather circuit, middle earth, leichhardt,2580, qld,19590308,20, 04 44893923,5567618,6
3679,   katelynn, mcgregor,2, belfield crescent, bellsbrook, beachmere,3174, qld,19680607,40, 07 30292783,5963590,9
7624,   elizabeth, crosswell,5, cerutty crescent, bulala, hamilton,2799, vic,19270630,32, 08 70539953,2499500,7
2446,   gabriel, jessup,60, alanson place, kalamos, forest hill,2454, nsw,19210523,33, 04 05817145,8274279,4
5379,   harvey, shepherd,63, dexter street, scotch college, jerrabomberra,2173, vic,19791222,28, 02 01705419,3356834,7
2976,   matthew, penno,11, brunswick circuit, palm lake resort, waggrakine,3825, sa,19751206,20, 08 56473958,9665571,5
4000,   richard, bristow,9, hakea crescent, hillandale, tanilba bay,2217, vic,19320511,30, 04 17085657,2589132,5
3953,   ralph, roling,103, bertel crescent, nunderi, noradjuha,3002, vic,19960123,37, 03 51387714,4883169,1
8387,   melvin, soward,13, checchi place, rsl park, belrose,4701, nsw,19620925,23, 08 95146699,2844768,6
5664,   destiny, gilbertson,21, lewin street, lake kiwarry, port pirie,2135, nsw,19660402,36, 03 96149845,9839215,1
5697,   devin, caruana,10, kallara close, the stockyards, sunshine,2190, qld,19290531,22, 08 21089969,1074277,0
3987,   robert, saar,19, mcgivern crescent, villa 87 henry kendall bayside, brighton-le-sands,4128, qld,19190328,37, 07 16388100,6108604,8
9561,   bernice, stagoll,14, kayser place, cabrini medical centre, ramsgate,3021, vic,19790615,28, 03 51638744,1818052,7
1816,   danielle, soldic,142, cochrane crescent, newville cottage park, deer park,4557, vic,19280821,32, 07 87329090,4249793,2
2189,   zachary, coffey,18, inlander crescent, stockwell hotel, beaudesert,6166, act,19860925,29, 04 39968620,9328884,1
725,   wilma, fitzpatrick,35, banambila street, binda garden, hillside,7320, vic,19490624,24, 07 96922490,1856279,1
9933,   robert, son,19, bootle place, warraberry, lansvale,6167, qld,19151010,30, 07 85841904,5851808,0
1704,   angelo, marshman,26, rich street, brookvale, wallsend,3644, nsw,19810130,34, 08 68578100,8815001,9
3236,   jacqueline, imison,5, kingsmill street, greenslopes, lilydale,2799, nsw,19570113,32, 02 85231456,3591497,9
4980,   judith, colquhoun,11, albermarle place, pine creek rubyvale, nambour,4305, nsw,19910528,31, 08 79892788,8105473,1
5551,   frances, paddon,30, spigl street, rsm 849, wahroonga,2076, nsw,19440305,27, 03 81496158,5259741,8
8740,   gordon, bristow,14, turriff street, jalkaro, lakes entrance,3090, nsw,19390707,32, 02 55307766,9288077,3
9652,   ingrid, shepherd,61, tadgell place, karingah, hawthorn,7011, nsw,19210108,36, 08 71427465,5948964,1
7857,   kyler, george,69, banks street, pipers river, dianella,6025, nsw,19330514,36, 03 95483525,7591071,1
817,   james, nguyen,14, ashby circuit, hazelwood garden, barcaldine,3199, tas,19050303,26, 03 96437250,1011471,2
2908,   ollie, sherriff,41, eagle circuit, wundaru, robina,6225, qld,19500905,32, 02 43957452,7683778,3
4105,   richard, clarke,25, maconochie crescent, glenlogie, woollahra,3030, qld,19221015,29, 04 64600248,2447061,7
9157,   rafael, holer,21, knaggs crescent, dalamar, frankston,2428, nsw,19510423,35, 04 68668357,5673225,0
4598,   mary, blake,34, burdekin avenue, kelham farm, corio,7250, sa,19800621,29, 04 59166247,3454495,9
1480,   william, stephenson,5, hampton circuit, dromard, deer park,7320, nsw,19000930,25, 07 75741199,9760426,4
4403,   kim, clarke,10, o'sullivan street, glenmore, mackay south,6112, qld,19690501,27, 08 29744768,9629074,9
6494,   ava, webb,14, prescott street, pine camp, thornbury,3015, sa,19041014,27, 04 25595225,8996718,1
5274,   samantha, carmody,9, beazley crescent, brookvale, norwood,3305, nsw,19370617,30, 04 93773852,7686057,5
227,   timothy, berryman,13, starke street, b & b hooper farms, wahroonga,2485, vic,19760216,41, 02 32698324,7218796,4
8496,   carolina, parr,100, canopus crescent, greyhnd complex, largs,6061, qld,19990105,33, 02 22298491,9509391,2
2678,   john, webb,244, keartland street, rockwood, campbelltown,2345, wa,19150814,28, 08 91855256,2898092,6
542,   richard, wurm,1500, bayley street, circle h, mount isa,3219, nsw,19320929,26, 08 06295017,2154174,7
2659,   tammy, crossman,40, churchill way, foxground, roleystone,3056, qld,19000123,27, 07 87684951,1675556,9
6617,   arthur, belperio,37, bullala court, yarrabin, springwood,3178, qld,19670611,32, 08 99505372,1993783,9
8448,   betty, lipscomb,26, lambrigg street, inverglen, banyo,5280, sa,19680611,25, 02 64046907,7286608,6
7243,   tyler, shoeman,44, scratchley place, brentwood vlge, ballina,3752, sa,19691205,31, 07 74317195,5554747,3
7943,   debra, rees,10, skinner street, moongi, king river,5088, qld,19760610,30, 04 26619731,8080560,6
5680,   thomas, gillard,31, grigg place, warringa nebraska, kuraby,2010, wa,19771208,26, 08 57876253,7588535,6
2209,   karen, meaney,69, summerville crescent, biggin hill, pinkawillinie,3717, qld,19570106,25, 04 05152399,9947671,1
3886,   hudson, bowerman,16, boustead circuit, balmoral garden, scarborough,3637, wa,19860825,34, 07 94021623,4180720,5
1891,   john, matthews,17, scarlett street, fairholme, cooroy,2330, nsw,19221201,36, 03 32019009,2084501,9
3439,   marcia, blake,12, rawson street, karma park, athol park,3029, vic,19150727,27, 08 15429607,6333323,1
70,   johnny, eyles,3, daglish street, tillside, ivanhoe,2028, nsw,19220708,32, 03 39575606,1488005,1
3617,   daniel, kardwell,7, laughton street, tycannah station, robina,2590, qld,19591202,30, 03 80617646,2360115,8
9207,   angela, milovancev,52, fairweather circuit, st vincent hosp, oatlands,4868, qld,19150105,35, 04 72580038,7392314,0
1494,   norma, lomman,75, robson street, sattwa park, roselands,3070, nsw,19510817,22, 03 95526115,9722649,0
1121,   whitney, white,110, david street, garden creek, harbord,2210, nsw,19481120,22, 04 80828406,6420144,2
3541,   maxie, paterson,55, traeger street, merrilea, ballarat,2176, wa,19600411,26, 04 20487084,5532009,5
4579,   stephanie, nicolle,2, max henry crescent, riverside ret vlg, barmera,4215, nsw,19140629,32, 02 98060794,9382692,5
9347,   audrey, laing,200, redfern street, woodsong, dulwich hill,4352, nsw,19070513,29, 08 55751273,3748287,5
6620,   kelly, banelis,24, bath place, northern tablelands tennis academy, railway estate,3840, sa,19610417,34, 07 23288087,9645076,5
5731,   greyson, mason,7, flinders way, weeroona, greensborough,4122, qld,19710822,26, 04 97603167,4570557,4
5847,   clifford, fitzpatrick,41, hopwood place, hilltop hostel rowethorpe, mentone,6030, qld,19370218,35, 04 61577238,1677263,6
3788,   david, wilkins,41, farrer street, kalang, paddington,810, nt,19370115,37, 02 99573808,1095645,0
2840,   willis, white,11, hicks street, corinella glen, toowoomba,6152, vic,19481216,24, 03 31096909,9027246,0
6109,   tami, dixon,2, tauss place, conmurra, annandale,5290, vic,19730312,33, 04 08578925,3171396,6
1069,   joseph, herbert,6, miller street, taylor lakes retirement village, new lambton heights,3166, nsw,19670106,30, 02 63202397,3427923,6
518,   christian, webb,11, custance street, scotch college, coonamble,2145, qld,19160126,36, 04 92923678,1443934,5
3488,   abraham, shepherdson,43, drevermann street, townhouse 5, lismore,4216, wa,19680720,20, 04 84620516,3108539,2
8580,   lea, paterson,14, abercrombie circuit, largo, lindfield,6064, nsw,19001208,30, 04 84128664,9696594,9
6125,   peter, spicer,45, mceachern crescent, wimdaliri, seymour,2107, nsw,19141205,38, 02 53247250,5901693,6
3873,   daniel, neylon,36, pridham street, st francis vlge, wingham,3458, qld,19020621,26, 04 10686535,1262482,0
5492,   justin, white,73, gatton street, cabbage tree, fraser,6230, wa,19550509,28, 07 09378990,2033186,3
5879,   sharlene, lombardi,20, farncomb place, gliding gulls, clare,5720, tas,19521010,28, 04 89554467,9061621,9
120,   khloe, ryan,37, selena close, riverside station, mount isa,2096, qld,19250503,34, 08 50367986,2094708,3
4285,   carol, benjamin,3, unaipon avenue, katalina forrest, penshurst,6701, nsw,19600620,13, 03 41423946,5292247,4
3580,   katherine, madigan,8, winyu close, glenview, north bondi,3226, nsw,19590130,39, 08 69047317,7060493,4
54,   easton, crossman,6, mullagh place, regal oaks retirement vlge, maydena,5047, sa,19530530,25, 03 56588968,1364776,4
2364,   walter, bishop,583, frome street, aberglasslyn cottage, wellard,3135, nsw,19381122,33, 08 11262112,7073810,6
404,   timothy, soden,146, pinkerton circuit, doonkuna estate, deniliquin,3031, qld,19080413,27, 03 54487369,7599148,4
3675,   edward, gildea,20, clarke street, neaavie, labrador,2229, qld,19770920,31, 08 19863902,2513025,5
9643,   jacob, lowe,12, woodfull loop, glendower, kingston,5110, wa,19730325,22, 07 46373684,2768745,8
3158,   lee, drallini,382, marconi crescent, st francis vlge, bondi junction,3805, vic,19780909,23, 08 43816613,7210173,2
7650,   antoine, willes,16, sabine close, bay city plaza, balranald,3221, qld,19401101,39, 08 77252811,3726834,8
4336,   mia, insley,5, milari street, buena vista, wahroonga,2794, nsw,19190522,34, 04 59609988,3926966,8
9702,   dylan, webb,11, severne crescent, glenview, kincumber,5343, nsw,19330413,25, 03 14279685,5431155,9
5557,   dixie, hingston,7, port jackson circuit, alehvale station, farrer,2528, vic,19580914,29, 02 41264002,4618236,7
1422,   karen, herbert,9, barringer street, glenmore, concord,4014, vic,19980210,34, 04 18455392,1413744,7
2346,   michael, eastaughffe,122, pocket avenue, homeland caravan park, petersham,3304, nsw,19500426,28, 03 12618407,8191387,1
317,   jessica, suttle,85, apperly close, belmont bayview park, north turramurra,4120, qld,19010116,27, 08 06089960,1978788,9
718,   michael, reid,11, ellerston avenue, forest placeretire, flora hill,6101, vic,19190223,32, 04 55350746,7169400,2
2744,   briana, weaver,1, torrens street, the meadows, sandy bay,4225, nsw,19570306,23, 07 90141027,5174717,9
5219,   mary, hobson,18, mccullock place, kimberley, loganlea,2478, nsw,19991003,19, 04 14044450,3064271,0
8085,   francis, gade,18, amadeus place, hilltop hostel rowethorpe, magill,2753, vic,19151231,33, 08 90054323,5590981,3
8062,   charles, paterson,8, grove place, whispering pines, brookvale,4511, nsw,19721208,33, 04 62986210,2996655,4
6273,   rebecca, rawlings,3, rudder place, immanuel garden, sunshine beach,4558, nsw,19651126,23, 02 56757847,8178739,5
3943,   bruce, coffey,32, meston place, gostwyck, annandale,4575, vic,19660616,28, 08 43456347,4028100,3
981,   stephen, white,1, getting crescent, brentwood vlge, port sorell,3109, nsw,19020727,32, 04 53379581,6065058,5
2098,   regina, matthews,112, barnard circuit, laurel vale poll hereford stud, campsie,5076, qld,19780416,37, 08 82812435,6147252,9
6105,   rose, fahlberg,4, gaylard place, woodleigh, lismore,2290, wa,19481213,29, 03 15133311,9910972,1
9407,   allyssa, bishop,19, mirrabucca crescent, fair lea, seaham east,3040, qld,19031127,36, 04 43802388,7773756,0
2585,   alex, lette,20, outtrim avenue, poppa downs, toorak,6028, qld,19690213,26, 02 88226683,3400317,5
2358,   ian, plume,1, hayward street, lindlegreen, ringwood,2203, vic,19050619,28, 02 35689907,3635777,9
9057,   sadie, donegan,2, fuhrman street, pine hill, dulwich hill,3802, wa,19911115,32, 04 64835883,9920747,3
2764,   susie, green,35, collings street, renown, havelock,6056, qld,19960820,27, 08 18714053,7794645,2
5420,   jimmy, mccarthy,39, howitt street, rosedale, adelaide,2144, vic,19790422,26, 04 96107065,4150706,9
5813,   alice, bibby,73, taronga place, hamden place, cabramatta,7303, vic,19670308,32, 08 88007947,9757460,7
4475,   scott, clarke,7, geerilong garden, tolemac, cabramatta,4818, qld,19320721,28, 02 90971925,3491406,5
363,   kathleen, morrison,54, leach street, st francis village, osborne park,2044, wa,19220411,23, 02 48295713,3750933,2
7206,   marjorie, papageorgiou,181, david street, beltunga, fraser,2340, qld,19940104,33, 08 33942076,1838602,6
3150,   royce, truman,29, skardon street, alehvale station, westlake,4610, wa,19570525,34, 02 02048223,3627496,0
1308,   floyd, tippins,55, hobart place, tulgeywood, kangaroo flat,4171, qld,19160505,34, 07 81748090,5314100,8
9843,   manuel, dreckow,25, cuthbertson crescent, moorabee, morpeth,5065, nsw,19650422,24, 03 09911707,9385165,1
9763,   amanda, hope,3, bunduluk crescent, sea vista, como,2444, nsw,19651007,29, 07 98036235,1505801,4
3000,   jeffrey, bowron,324, rankin street, talonmane, magill,3500, nsw,19350916,28, 02 41501125,1872032,8
2379,   barbara, laundon,35, weddin circuit, monarch, coffs harbour,2580, act,19360219,38, 02 17215803,5679724,7
4053,   marilyn, hanna,16, hayley street, ridgebrook, wantirna,5051, nsw,19100416,24, 07 44402025,4015718,5
8417,   james, shepherd,3, adamson crescent, pleasant acres, lindfield,3133, nsw,19080512,32, 07 61591734,2621238,8
5474,   jimmy, dixon,136, kosciusko avenue, darlington van park, smithfield,3182, vic,19970313,25, 07 87795909,7467676,4
9931,   rita, grosser,26, roderick street, old green hill, paddington,3058, nsw,19040514,29, 04 54064597,5411695,0
4803,   geneva, lusted,182, summerville crescent, minjarra, sunshine,6171, wa,19330724,22, 07 97741366,1460324,8
